4 7 0.9491 128 16 50 0.001 128 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_7.pkl
4 8 0.9493 128 16 50 0.001 256 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_8.pkl

3 0 0.9521 16 16 50 0.001 0 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version3_resnet56_after_model_0.pkl
3 1 0.9441 16 16 50 0.001 2 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version3_resnet56_after_model_1.pkl 
3 2 0.9501 16 16 50 0.001 4 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version3_resnet56_after_model_2.pkl 
3 3 0.9511 16 16 50 0.001 8 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version3_resnet56_after_model_3.pkl 
3 4 0.9481 16 16 50 0.001 16 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version3_resnet56_after_model_4.pkl 
3 5 0.9551 16 16 50 0.001 32 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version3_resnet56_after_model_5.pkl 
3 6 0.9489 16 16 50 0.001 64 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version3_resnet56_after_model_6.pkl 
3 7 0.9451 16 16 50 0.001 128 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version3_resnet56_after_model_7.pkl 
3 8 0.9455 16 16 50 0.001 256 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version3_resnet56_after_model_8.pkl 

